Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield
13 November 2006,5773.25,5823.95,5730.85,5801.35,7270643,3109800000,16.23,2.44,1.25
14 November 2006,5793.6,5849.85,5782.1,5838.8,10581856,4825900000,16.33,2.46,1.25
15 November 2006,5835.2,6047.45,5835.2,6023.55,22453891,10520600000,16.85,2.54,1.21
16 November 2006,6039.2,6268.25,6039.2,6175.05,35165285,17678100000,17.27,2.6,1.18
17 November 2006,6166.45,6228.25,6066.15,6119.65,19583709,10760900000,17.12,2.58,1.19
20 November 2006,6115.95,6115.95,5907.45,6006.6,14438541,8095700000,16.8,2.53,1.21
21 November 2006,6045.05,6101.8,6009.1,6085.5,9123041,4453800000,17.02,2.56,1.19
22 November 2006,6094.4,6177.2,6094.4,6118.9,11517943,5635400000,17.12,2.58,1.19
23 November 2006,6153,6177.55,6082.8,6157.1,11112902,5052000000,17.23,2.59,1.18
24 November 2006,6144.95,6190.95,6132.6,6153.6,9513735,4093800000,17.22,2.59,1.18
27 November 2006,6128.5,6217.65,6107.35,6198.35,5320821,2733600000,17.34,2.61,1.17
28 November 2006,6179.35,6179.35,6080.35,6122.9,8564787,4355400000,17.13,2.58,1.19
29 November 2006,6158.4,6202.1,6109.05,6127.65,8653445,4881200000,17.14,2.58,1.19
30 November 2006,6144.2,6227.3,6143.55,6198.3,13236498,5892100000,17.34,2.61,1.17
01 December 2006,6217.65,6341.15,6199.05,6330.75,10978952,5772400000,17.71,2.67,1.15
04 December 2006,6301.65,6374.55,6280.6,6294.1,7172281,3820000000,17.61,2.65,1.16
05 December 2006,6296.45,6340,6212.25,6235.15,6149257,3245300000,17.45,2.63,1.17
06 December 2006,6264.55,6305.5,6188.8,6213.85,5289157,2780300000,17.39,2.62,1.18
07 December 2006,6220.25,6284.15,6182.55,6259.5,6332149,3332800000,17.51,2.64,1.17
08 December 2006,6595.85,6595.85,6187.7,6234.55,7891686,4149500000,17.45,2.63,1.17
11 December 2006,6177.9,6177.9,5729.35,5790.6,13713708,6891000000,16.2,2.44,1.26
12 December 2006,5758.3,5812.05,5408.95,5536.3,17112057,6881700000,15.49,2.33,1.32
13 December 2006,5556.35,5741.65,5502.75,5720.35,15593986,5652100000,16.01,2.41,1.28
14 December 2006,5754.8,5877.4,5754.8,5849.75,10930319,4810400000,16.37,2.46,1.25
15 December 2006,5844.35,5966.3,5844.35,5958.2,9606849,3694400000,16.67,2.51,1.23
18 December 2006,5971.1,6022.2,5814.9,6012.05,11232923,5442700000,16.83,2.53,1.22
19 December 2006,6010.8,6010.8,5801.95,5867.45,8782201,4702700000,16.42,2.47,1.25
20 December 2006,5865.8,5947.65,5764.1,5797.2,9040345,4781000000,16.22,2.44,1.26
21 December 2006,5787.6,5810.95,5712,5777.9,9232432,4361200000,16.17,2.43,1.27
22 December 2006,5796.4,5829.45,5760.1,5790.4,7347382,2888000000,16.21,2.44,1.26
26 December 2006,5799.2,5914.4,5785.25,5904.15,5650038,2639400000,16.52,2.49,1.24
27 December 2006,5933.45,6057.55,5930.95,6009.6,7492932,3427300000,16.82,2.53,1.22
28 December 2006,6036.35,6060.85,5994.55,6027.8,12120043,5285000000,16.87,2.54,1.21
29 December 2006,6098.55,6098.55,5993.9,6008.75,7392308,2750100000,16.82,2.53,1.22
02 January 2007,6015.15,6067.05,6004.65,6039.55,3647004,1650300000,16.9,2.54,1.21
03 January 2007,6044.3,6084.5,6009.65,6070.25,5541104,2341500000,16.99,2.56,1.2
04 January 2007,6077.15,6122.4,5982.45,6008.45,8078673,3465500000,16.82,2.53,1.22
05 January 2007,6004.3,6101.8,5996.45,6049,8429921,4214500000,16.93,2.55,1.21
08 January 2007,6069.9,6069.9,5951.6,5968.35,7392637,3591400000,16.7,2.51,1.23
09 January 2007,5971.8,6000.75,5864.3,5875.3,12989392,6297800000,16.44,2.48,1.24
10 January 2007,5859.9,5894.4,5709.2,5723.05,9063215,4066000000,16.02,2.41,1.28
11 January 2007,5720.55,5816.5,5684.7,5748.75,14052929,7143400000,16.02,2.42,1.27
12 January 2007,5826.65,6184.6,5826.65,6157.95,16515401,7942100000,17.1,2.59,1.19
15 January 2007,6191,6221.4,6144.85,6164.8,5817293,3341800000,17.12,2.6,1.19
16 January 2007,6188.1,6212.1,6103.1,6157.4,8985294,5142000000,17.1,2.59,1.19
17 January 2007,6168.6,6247.05,6143.75,6215.2,6296906,3928400000,17.26,2.62,1.18
18 January 2007,6239.2,6292.9,6154.9,6189.5,11268346,5875000000,17.19,2.61,1.18
19 January 2007,6254.5,6254.75,6104.2,6184.9,5963738,3286000000,17.17,2.61,1.18
22 January 2007,6209.75,6224.1,6135.4,6175.45,6211720,2995900000,16.73,2.6,1.18
23 January 2007,6167.85,6172.25,5989.85,6010.8,12066221,6571600000,16.34,2.53,1.22
24 January 2007,6082.85,6098.05,5989.6,6055.5,9049995,3979200000,16.26,2.55,1.21
25 January 2007,6094.05,6126.4,6051.25,6107.6,12443532,4464300000,16.37,2.57,1.2
29 January 2007,6139.75,6148.55,5953.3,5978.9,5628805,2573400000,15.98,2.52,1.22
31 January 2007,5980.05,6100.5,5901.65,5953.95,16903515,7702000000,15.92,2.51,1.23
01 February 2007,5976.25,6152.25,5951.05,6115.2,12684869,6217900000,16.29,2.58,1.2
02 February 2007,6132.45,6176,6059.7,6075.35,14086385,7715600000,16.18,2.56,1.2
05 February 2007,6120.1,6144.65,6047.55,6089.2,7027503,3924100000,16.22,2.58,1.2
